b1,1CC rate,2CC rate,Game 1 rate,C rate,SPE rate,strat,strat_space,transition
1.0,0.020780478159912477,0.04961844151424613,0.3229457239909206,0.1067760429400345,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.1400000000000001,0.029603710401205383,0.0466096577040098,0.21039171978545265,0.12848472479896042,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.2800000000000002,0.05844780634383331,0.02899544000732887,0.2959539168811663,0.13566498407177138,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.4200000000000004,0.056008455604579635,0.024067476381169274,0.4381493468445303,0.1232178893402618,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.5600000000000005,0.06677253278552064,0.018792294266666378,0.39384294343820275,0.12806842888770092,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.7000000000000006,0.11132671539227412,0.0331407232446324,0.5287536396262661,0.1726756274514398,0.039,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.8400000000000007,0.6313610397130069,0.019816941585473723,0.7534001737279342,0.6702201358423132,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.9800000000000009,0.2978890522528543,0.01913692336979222,0.5493326965976372,0.3610769696570199,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.120000000000001,0.9720193242132084,0.005336242724940228,0.9754648665733419,0.9784542322137866,0.8988,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.260000000000001,0.3185011177630362,0.04515905766936233,0.6136125295904511,0.3857962597196299,0.0812,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.4000000000000012,0.7358452175162603,0.012282757570918078,0.8017007625588082,0.7640386437873395,0.0948,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.5400000000000014,0.8733894394719187,0.011980861886631602,0.9369990644710781,0.8923782603860642,0.5386,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.6800000000000015,0.9154082684772562,0.003748037882428059,0.9508062092703341,0.9278118245779866,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.8200000000000016,0.9356766034701135,0.0013875625320909483,0.965219822519383,0.9399055468038783,0.9378,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.9600000000000017,0.9866524717443077,0.003852422577589099,0.9899500578122672,0.9926986077890415,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
3.100000000000002,0.9016851450179262,0.02235574575185816,0.9115295379266052,0.9303390734299346,0.0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
