b1,1CC rate,2CC rate,Game 1 rate,eps,CC rate,strat,strat_space,transition,N,beta
1.8,0.5131228518415674,0.01396989468291698,0.7273599513587947,0.0001,0.5270927465244843,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5959090447288073,0.011760356076951528,0.7824592871267778,0.0001,0.6076694008057588,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5975517349578557,0.012497891203821217,0.7721890425147482,0.0001,0.6100496261616769,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.6085725661424007,0.010706311710769217,0.7728858454086088,0.0001,0.6192788778531699,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.6489473171666374,0.009834608284044193,0.8100798428295776,0.0001,0.6587819254506816,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5818654228574015,0.014015279483368512,0.7692119456760284,0.001,0.5958807023407701,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.6220392744207153,0.013211970051450863,0.7954387054296885,0.001,0.6352512444721662,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5474887595850492,0.014088493704503238,0.7451268886550965,0.001,0.5615772532895524,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5751486013376137,0.013755203725407497,0.7592041161501993,0.001,0.5889038050630212,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5371856776540272,0.01567564678009712,0.7347355962746834,0.001,0.5528613244341244,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.3458721404937276,0.02744475844600587,0.6881241071373444,0.01,0.37331689893973347,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.27986456828353096,0.02696880234124612,0.6601405644980485,0.01,0.30683337062477706,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.3648675291908885,0.028141932613871577,0.6774623171322615,0.01,0.3930094618047601,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.33098519281925937,0.02802517481650449,0.6710525088253305,0.01,0.3590103676357639,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.2634425778041638,0.025449233267821704,0.6601004790510261,0.01,0.2888918110719855,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.01377033953976036,0.007876246143910314,0.7012392255479019,0.1,0.02164658568367067,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.016475642336867068,0.01057162857703219,0.6370484765985903,0.1,0.02704727091389926,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.02085363643320086,0.012599048334172731,0.654519267156583,0.1,0.03345268476737359,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.02049317476796875,0.011273218334772062,0.6635019816335882,0.1,0.03176639310274081,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.018507899620848672,0.010994484273858414,0.6666381749457068,0.1,0.029502383894707086,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
