b1,1CC rate,2CC rate,Game 1 rate,Cooperation rate,SPE rate,strat,strat_space,transition
1.0,0.005832949896103213,0.01977166223325753,0.4456940750211782,0.06951727447286982,0.00011,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.1400000000000001,0.01174530146022859,0.014572131610282228,0.47554579366186506,0.06648180036061284,0.00104,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.2800000000000002,0.018164539164386775,0.013317988215713226,0.49922707436318964,0.0706550406868993,0.00255,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.4200000000000004,0.023723802065772,0.014023408039909728,0.5284411832348417,0.07825768878589637,0.004946666666666667,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.5600000000000005,0.03264797456655845,0.014139731000434131,0.508800609159132,0.08330337820390288,0.011346666666666666,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.7000000000000006,0.14989601882166306,0.012374169430880693,0.6017985320364452,0.19402911178519752,0.12299,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.8400000000000007,0.45164222586377,0.008995491256232004,0.7481439780975064,0.48194606868504886,0.42256333333333335,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.9800000000000009,0.5702343488334518,0.00776055077266711,0.8236425549002415,0.5942858810202272,0.53103,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.120000000000001,0.745236418568184,0.006261705105863074,0.8913817467741131,0.762988365809029,0.6758733333333333,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.260000000000001,0.8012296836701848,0.004838854929149432,0.918479547612212,0.8141839871796628,0.58028,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.4000000000000012,0.9430011881098683,0.00329040910230901,0.9766059657281211,0.9490784243936384,0.47597,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.5400000000000014,0.9814830528557364,0.0029018042516259735,0.9905004699082234,0.9856469681656768,0.4183133333333333,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.6800000000000015,0.9929914200418967,0.0028495965707870975,0.9954456909505198,0.9968441666302481,0.4322533333333333,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.8200000000000016,0.9903530373122578,0.0029350350734048134,0.994918719590038,0.9943476626309331,0.47536,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.9600000000000017,0.9886697775510014,0.002669902315536171,0.9925331448598416,0.9925802108384872,0.3062933333333333,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
3.100000000000002,0.9920097258983189,0.002921721676918291,0.9947495010679591,0.9959570076838852,0.46942333333333336,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.0,0.005703136281423877,0.023753582801369102,0.4359119554625679,0.08232013737294597,0.00014666666666666666,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.1400000000000001,0.011238972804409133,0.015256570837751884,0.49220917924488455,0.06667485099225649,0.00059,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.2800000000000002,0.017819419540380865,0.012247955709273848,0.49624046263986976,0.06681378881312415,0.0024066666666666668,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.4200000000000004,0.01990184379385348,0.011297252284838626,0.5192212505682106,0.0663112330788256,0.003353333333333333,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.5600000000000005,0.03257534314909614,0.013754295547578383,0.5409322095049732,0.08469538876351254,0.010103333333333334,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.7000000000000006,0.18005585423682005,0.013207961211713219,0.6012269929749248,0.22566848157488698,0.15149333333333334,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.8400000000000007,0.5763911946728824,0.008127110867654637,0.81518993670153,0.6002042145263703,0.5521833333333334,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.9800000000000009,0.594960987369377,0.00830976476557889,0.8186350282383728,0.6190911216588215,0.5613866666666667,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.120000000000001,0.7169062593119474,0.0062509519844625395,0.8781766740419554,0.7351520954574282,0.6106566666666666,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.260000000000001,0.7909846885967745,0.005219945020488822,0.9132442991792777,0.8048330242580616,0.51423,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.4000000000000012,0.9328673270776994,0.003504126189027518,0.9764037450597992,0.9397127226749922,0.41862666666666665,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.5400000000000014,0.9742109540522409,0.0031511904541767686,0.9903098924802732,0.9792525680879618,0.43582,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.6800000000000015,0.9920350847841433,0.0026048383824836545,0.9945790943741034,0.9957161134778043,0.28330666666666665,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.8200000000000016,0.9914987465965792,0.002903932868944886,0.9948013964437369,0.99542076954275,0.45852333333333334,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.9600000000000017,0.9858637835100587,0.00289697208694997,0.9923956847310716,0.9901432171400648,0.32654,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
3.100000000000002,0.9884801290394483,0.002711636981106677,0.9933880938926254,0.9924015868690197,0.2995966666666667,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
