b1,1CC rate,2CC rate,Game 1 rate,strat,strat_space,transition
1.0,0.0110491609598629,0.013881292236109712,0.47079924397131856,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.1400000000000001,0.012598814797701145,0.013909572379255185,0.5424591411448566,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.2800000000000002,0.015577836414219054,0.01217594626682437,0.5211559306724344,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.4200000000000004,0.021601107378656503,0.009764559311187436,0.5302480849547617,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.5600000000000005,0.03157342361331022,0.009301380482288422,0.5476543748756505,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.7000000000000006,0.039341765922107905,0.008121485352536342,0.5804861226418769,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.8400000000000007,0.05359964629619574,0.0073655893069837,0.6000643205060937,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.9800000000000009,0.08517432296635369,0.007099549584022061,0.5943433210783831,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.120000000000001,0.19801265820873462,0.006217902102251498,0.6457870992692699,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.260000000000001,0.48169752910662333,0.0045034053137527775,0.7864833551429637,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.4000000000000012,0.8420104248413578,0.0019022170049985967,0.9356413998310088,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.5400000000000014,0.9500096637483869,0.0012192245723862973,0.9796458622215864,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.6800000000000015,0.991306668239498,0.0010397106355196385,0.9969991308226555,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.8200000000000016,0.9947221017117015,0.0010957229962990898,0.9983503013272944,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.9600000000000017,0.9937265084473503,0.0007450930561396194,0.9978999082104116,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
3.100000000000002,0.9922437573457861,0.0007592940564329965,0.9973090402313394,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.0,0.01007306336623965,0.015279955697680142,0.500822254216685,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.1400000000000001,0.012904136904660857,0.017654724842111093,0.535828798448221,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.2800000000000002,0.016297353298378225,0.01225878149592828,0.52614042702481,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.4200000000000004,0.0231635396703147,0.009791780002209741,0.5406669030676295,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.5600000000000005,0.028541705896725483,0.009783555735717351,0.5523674022347651,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.7000000000000006,0.03886105087552524,0.00861664538459857,0.5805541505395198,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.8400000000000007,0.05017748097327544,0.008163633848988551,0.6054171246293206,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.9800000000000009,0.09020515819112968,0.007498042389038618,0.5986675415697794,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.120000000000001,0.20497010564171975,0.006751834404322115,0.65113242106381,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.260000000000001,0.5557983237220403,0.00428112780484623,0.8070313294869155,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.4000000000000012,0.8311634141783827,0.0020684428658664196,0.9156283889752007,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.5400000000000014,0.9377316086692065,0.0014944498721424805,0.9745495972093352,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.6800000000000015,0.992121772691565,0.0008505502978232801,0.9978933472257853,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.8200000000000016,0.9869661038551243,0.0007218061654085563,0.9959827218110247,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.9600000000000017,0.9875794819552508,0.0008477647443145221,0.9954130049020035,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
3.100000000000002,0.9949522268030591,0.0008731443641220654,0.9983976669592851,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.0,0.008008185269482031,0.014993003241708557,0.5134920423777787,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.1400000000000001,0.012913380446017255,0.01461508746762549,0.5373124751281307,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.2800000000000002,0.016039035326714073,0.012606882687968664,0.5137736622281702,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.4200000000000004,0.020227916215727025,0.010733125266279994,0.5497519988076839,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.5600000000000005,0.029239952105779805,0.008257391248186625,0.5677884000128718,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.7000000000000006,0.04184355673343786,0.008009406891824925,0.5402335943162023,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.8400000000000007,0.052673234980860066,0.007543554574178848,0.5878886123735771,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.9800000000000009,0.09477170187964526,0.007195575197040451,0.6082104740676297,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.120000000000001,0.19520323181999943,0.0065746891399978535,0.6103061594271011,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.260000000000001,0.47368297905721324,0.004748770278896599,0.7687564182838642,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.4000000000000012,0.8215798225154934,0.0020621183575730722,0.9179246081273837,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.5400000000000014,0.9336302851565826,0.0009520943204215081,0.9729197555227023,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.6800000000000015,0.97834079630846,0.0012854195069409058,0.9891242676151307,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.8200000000000016,0.9927851494407518,0.000936485103606101,0.9969590650702603,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
2.9600000000000017,0.9912230219562373,0.0012017068768215714,0.9961211123723352,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
3.100000000000002,0.9949450959485139,0.0008096333766389535,0.9983845413093928,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.0,0.008400986044955393,0.012489774793560117,0.46993161505460285,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.1400000000000001,0.01243916576174449,0.015655658090058994,0.5096939086287222,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.2800000000000002,0.01566338128468928,0.013056927610071507,0.5186320623561209,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.4200000000000004,0.020226848113084103,0.009160039472613577,0.5314989144603907,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
1.5600000000000005,0.028456877982050082,0.008794641358550463,0.5581197227174705,S_08_EqualSay_G1_Default,S_08,EqualSay_G1_Default
