b1,1CC rate,2CC rate,Game 1 rate,strat,strat_space,transition
1.0,0.013824157290039695,0.013824157290039695,0.5,S_08_Random,S_08,Random
1.1400000000000001,0.013764436983348456,0.013764436983348456,0.5,S_08_Random,S_08,Random
1.2800000000000002,0.014138594162687448,0.014138594162687448,0.5,S_08_Random,S_08,Random
1.4200000000000004,0.016294107722906886,0.016294107722906886,0.5,S_08_Random,S_08,Random
1.5600000000000005,0.015399288351429957,0.015399288351429957,0.5,S_08_Random,S_08,Random
1.7000000000000006,0.018878832157761923,0.018878832157761923,0.5,S_08_Random,S_08,Random
1.8400000000000007,0.021271904644650282,0.021271904644650282,0.5,S_08_Random,S_08,Random
1.9800000000000009,0.02061791727723638,0.02061791727723638,0.5,S_08_Random,S_08,Random
2.120000000000001,0.023352902694544306,0.023352902694544306,0.5,S_08_Random,S_08,Random
2.260000000000001,0.024794562579910372,0.024794562579910372,0.5,S_08_Random,S_08,Random
2.4000000000000012,0.02900027726062554,0.02900027726062554,0.5,S_08_Random,S_08,Random
2.5400000000000014,0.03477385775896266,0.03477385775896266,0.5,S_08_Random,S_08,Random
2.6800000000000015,0.04174522417473192,0.04174522417473192,0.5,S_08_Random,S_08,Random
2.8200000000000016,0.056432356300848224,0.056432356300848224,0.5,S_08_Random,S_08,Random
2.9600000000000017,0.0781092506309938,0.0781092506309938,0.5,S_08_Random,S_08,Random
3.100000000000002,0.12123171548908802,0.12123171548908802,0.5,S_08_Random,S_08,Random
1.0,0.012911411779353912,0.012911411779353912,0.5,S_08_Random,S_08,Random
1.1400000000000001,0.013297461339605255,0.013297461339605255,0.5,S_08_Random,S_08,Random
1.2800000000000002,0.014406127151105832,0.014406127151105832,0.5,S_08_Random,S_08,Random
1.4200000000000004,0.01570837301329073,0.01570837301329073,0.5,S_08_Random,S_08,Random
1.5600000000000005,0.017379863236823334,0.017379863236823334,0.5,S_08_Random,S_08,Random
1.7000000000000006,0.017072157498256746,0.017072157498256746,0.5,S_08_Random,S_08,Random
1.8400000000000007,0.019088151619881442,0.019088151619881442,0.5,S_08_Random,S_08,Random
1.9800000000000009,0.021801364017157154,0.021801364017157154,0.5,S_08_Random,S_08,Random
2.120000000000001,0.02268179820664632,0.02268179820664632,0.5,S_08_Random,S_08,Random
2.260000000000001,0.026628262054802867,0.026628262054802867,0.5,S_08_Random,S_08,Random
2.4000000000000012,0.030350954622351406,0.030350954622351406,0.5,S_08_Random,S_08,Random
2.5400000000000014,0.033546110135060724,0.033546110135060724,0.5,S_08_Random,S_08,Random
2.6800000000000015,0.046855335350926106,0.046855335350926106,0.5,S_08_Random,S_08,Random
2.8200000000000016,0.06364115358665273,0.06364115358665273,0.5,S_08_Random,S_08,Random
2.9600000000000017,0.07545007594509141,0.07545007594509141,0.5,S_08_Random,S_08,Random
3.100000000000002,0.13027656885698768,0.13027656885698768,0.5,S_08_Random,S_08,Random
1.0,0.013047207636701856,0.013047207636701856,0.5,S_08_Random,S_08,Random
1.1400000000000001,0.012681209982267974,0.012681209982267974,0.5,S_08_Random,S_08,Random
1.2800000000000002,0.013159463159069606,0.013159463159069606,0.5,S_08_Random,S_08,Random
1.4200000000000004,0.014608226971443974,0.014608226971443974,0.5,S_08_Random,S_08,Random
1.5600000000000005,0.016356322736859073,0.016356322736859073,0.5,S_08_Random,S_08,Random
