b1,1CC rate,2CC rate,Game 1 rate,player_c_avg,beta,CC rate,strat,strat_space,transition,N,eps
1.8,0.21159701122815075,0.05288051674818203,0.5329053369346078,0.3157200224059507,0.1,0.2644775279763328,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.20039139896117625,0.0497729171784213,0.5286044369848493,0.29355960168533135,0.1,0.25016431613959755,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.20478703870594955,0.049500898315727695,0.5242488034262464,0.30359298993390754,0.1,0.25428793702167724,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19880143098213088,0.0519458850058592,0.5099737865177355,0.2988224804251895,0.1,0.25074731598799005,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.2219549020774853,0.054909804578177936,0.5212708965994138,0.31439483107997307,0.1,0.27686470665566326,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.3358427277491568,0.02377159791525543,0.6179645222102794,0.3885748024419178,1,0.3596143256644122,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.3025825818174156,0.021670584715079294,0.6129524108059208,0.3518540410543186,1,0.3242531665324949,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.32496454536180336,0.023799642190287282,0.6233300160389199,0.378984736429402,1,0.34876418755209065,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.3255386387886487,0.022954237430045644,0.6365193478482181,0.375623150163022,1,0.34849287621869435,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.3516451347816745,0.02217564332359931,0.6442201641658449,0.40007521216653935,1,0.3738207781052738,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8954012274166724,0.007156828848479091,0.9434080424382967,0.9052684953880414,10,0.9025580562651515,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.9085065038305487,0.006393255983413872,0.9493464877104336,0.9165680831510188,10,0.9148997598139625,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.9019284505333429,0.006755401410516197,0.9480520228850556,0.9106568818977572,10,0.9086838519438591,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8834482888731083,0.007119107357691769,0.9359041401355704,0.8934599168684851,10,0.8905673962308001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.894667877262526,0.007032426565779368,0.9448055628878382,0.9035503268154003,10,0.9017003038283053,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
