b1,1CC rate,2CC rate,Game 1 rate,CC rate,strat,strat_space,transition,N,eps,beta
1.0,0.03218785765511185,0.04988015682230551,0.3305007094278491,0.08206801447741735,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.1400000000000001,0.0482375321407102,0.04423106348351675,0.3801271898669261,0.09246859562422695,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.2800000000000002,0.06321820986082892,0.039741445400235956,0.41316650654820875,0.10295965526106488,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.4200000000000004,0.08063918767954209,0.03980645615793992,0.4291514393655722,0.12044564383748202,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.5600000000000005,0.09810860033651708,0.03672910016657482,0.46606314867795695,0.1348377005030919,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.7000000000000006,0.1548847790418284,0.03470372705427804,0.5042076737281039,0.18958850609610645,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.8400000000000007,0.2481077924423415,0.02967417440720983,0.5516198178715346,0.2777819668495513,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.9800000000000009,0.4964326213684397,0.021757013937274996,0.7171177813243184,0.5181896353057147,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.120000000000001,0.6866713325058941,0.014960415582525335,0.8161434529845595,0.7016317480884194,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.260000000000001,0.7306183811214878,0.01370688448982125,0.853465087295817,0.7443252656113091,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.4000000000000012,0.7857468270378223,0.010826494296320582,0.88543416748493,0.7965733213341428,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.5400000000000014,0.8392662745740109,0.009254271315776887,0.9103807445292,0.8485205458897879,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.6800000000000015,0.875004353797686,0.007102825851848986,0.9307563222781761,0.882107179649535,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.8200000000000016,0.9191760982421149,0.005528900991720495,0.9595659437460883,0.9247049992338354,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.9600000000000017,0.943198130243355,0.004306069132052153,0.9691538063528127,0.9475041993754071,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
3.100000000000002,0.9489662827493761,0.003995917583988451,0.9712402026043021,0.9529622003333645,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.0,0.03090758257708037,0.05056619823586532,0.3623877302786872,0.08147378081294569,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.1400000000000001,0.049448193900957546,0.0460092911480589,0.3954905680597445,0.09545748504901644,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.2800000000000002,0.06251755242772547,0.0415399812129006,0.42313291606134695,0.10405753364062606,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.4200000000000004,0.07772894408933707,0.04012874060471148,0.44629592305361215,0.11785768469404856,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.5600000000000005,0.10188937707109982,0.03809279146470318,0.46604229675453135,0.139982168535803,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.7000000000000006,0.14550816955311396,0.0343428041977945,0.5005820821409882,0.17985097375090847,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.8400000000000007,0.24019534198750733,0.03305117872017192,0.567129359645797,0.27324652070767924,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.9800000000000009,0.5018906663390321,0.021896911745497835,0.7195414056305149,0.5237875780845299,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.120000000000001,0.6912089752249121,0.01600960769386676,0.8213643029733999,0.7072185829187788,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.260000000000001,0.7434410332429129,0.012179944394931232,0.8611996800516247,0.7556209776378441,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.4000000000000012,0.7983828856853863,0.010563060813724974,0.8867067137362498,0.8089459464991112,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.5400000000000014,0.8500070605780663,0.009070019232349605,0.919847466680535,0.8590770798104159,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.6800000000000015,0.8805791133733141,0.007670677772016826,0.9322823016902603,0.8882497911453309,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.8200000000000016,0.916375036574937,0.005321540155231936,0.9524719129883428,0.9216965767301689,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.9600000000000017,0.9518159919396751,0.004064366144790536,0.9752927235580746,0.9558803580844657,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
3.100000000000002,0.9482354055871719,0.0041286199125348776,0.9740477315001812,0.9523640254997068,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.0,0.032991586849265724,0.052014079905452364,0.34489732449354,0.08500566675471809,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.1400000000000001,0.04893011225145974,0.04895397765598724,0.3800708251921035,0.09788408990744699,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.2800000000000002,0.06638945494635502,0.039009909210056856,0.42162888753116895,0.10539936415641188,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.4200000000000004,0.0757905586480702,0.037761420455949865,0.4230658793096094,0.11355197910402007,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.5600000000000005,0.10444276525082348,0.037833894175711785,0.4836019465595347,0.14227665942653528,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.7000000000000006,0.14561244674979337,0.03615404406879263,0.49534581952376416,0.181766490818586,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.8400000000000007,0.2427183272240661,0.03266693130422012,0.5684991578209645,0.2753852585282862,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.9800000000000009,0.5245091691659323,0.021816377288649783,0.7290278574162187,0.5463255464545821,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.120000000000001,0.6531173052483836,0.01583893111934043,0.8069187962983332,0.668956236367724,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.260000000000001,0.7421047509601524,0.012583636480849572,0.8618554722901883,0.754688387441002,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.4000000000000012,0.7745604260858509,0.011605704807731513,0.8762061349481083,0.7861661308935823,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.5400000000000014,0.8829137686889575,0.007267591472055248,0.9372966487162318,0.8901813601610128,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.6800000000000015,0.8718725516504804,0.00735166171500947,0.9338873322614919,0.8792242133654898,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.8200000000000016,0.9102709378339267,0.0059796713602233275,0.954152088129048,0.91625060919415,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.9600000000000017,0.9297450685881604,0.0052125589036878936,0.9613360149853644,0.9349576274918483,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
3.100000000000002,0.9590282248117753,0.003853525887679105,0.9776605215100077,0.9628817506994544,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.0,0.03383152918779628,0.05094149484168917,0.3494815100332128,0.08477302402948544,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.1400000000000001,0.05143365972126855,0.05026029201597948,0.3898689855508756,0.10169395173724803,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.2800000000000002,0.06058889851981107,0.04184376986894343,0.42351217912735256,0.1024326683887545,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.4200000000000004,0.07618711065363626,0.038726914513997915,0.4359186250418204,0.11491402516763417,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.5600000000000005,0.10739152729411294,0.039108066429153154,0.4518586834648298,0.1464995937232661,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.7000000000000006,0.14116660887920576,0.035728350916973,0.49683732900193844,0.17689495979617875,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.8400000000000007,0.27758855128716786,0.02815882297588033,0.5893000558376116,0.3057473742630482,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
1.9800000000000009,0.4863773331814649,0.020756288121682412,0.7172533539669023,0.5071336213031473,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.120000000000001,0.6679967418139534,0.016019439325284587,0.8102572186696925,0.684016181139238,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.260000000000001,0.730912838206042,0.012600678727713916,0.8493850058530866,0.7435135169337559,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.4000000000000012,0.7652600871571518,0.01180078353849659,0.870004328112298,0.7770608706956483,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.5400000000000014,0.8522882489163136,0.009388627429503754,0.921486896884849,0.8616768763458174,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.6800000000000015,0.9078214843383249,0.005995458134152852,0.9529206619245588,0.9138169424724777,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.8200000000000016,0.928239923497038,0.005347765848766372,0.958205439444883,0.9335876893458044,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
2.9600000000000017,0.9329649984813495,0.004861434192558433,0.9644706451302923,0.937826432673908,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,32,0.001,2.0
