b1,1CC rate,2CC rate,Game 1 rate,player_c_avg,beta,CC rate,strat,strat_space,transition,N,eps
1.8,0.18055452096885705,0.19502909401636212,0.4116930054647576,0.3947657179775943,0.0001,0.3755836149852192,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1919138866470163,0.18255861239331023,0.4491052934239628,0.393279316816637,0.0001,0.37447249904032653,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1861146315405266,0.20458615944013522,0.41935481453655654,0.40335882262037365,0.0001,0.3907007909806618,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19286217040416062,0.18569148967356336,0.4213252856153508,0.3973622939567488,0.0001,0.37855366007772395,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1821872839947331,0.21001706879377033,0.42519686539214757,0.3986315601520017,0.0001,0.3922043527885034,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19341320009761237,0.18824337911823827,0.43592175162388797,0.4024032067706582,0.001,0.3816565792158506,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19248400407176405,0.2074588754409635,0.4318496144415843,0.4069945458474077,0.001,0.39994287951272756,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18841049530050072,0.19013662554721128,0.4195429622390263,0.39405914595507563,0.001,0.378547120847712,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.187448844504058,0.18876099243233072,0.43254826229770943,0.3901003435667405,0.001,0.3762098369363887,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1804490093675675,0.19289161256376808,0.41152979860645234,0.3966047680339698,0.001,0.37334062193133555,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18939601062793857,0.16513068560407815,0.4307871653459819,0.38450962089066554,0.01,0.3545266962320167,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19311823095527897,0.1548275932883091,0.45504313382883643,0.38169445568367094,0.01,0.3479458242435881,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.18753588236452695,0.16435784799754655,0.4455462114756607,0.3856274332601087,0.01,0.3518937303620735,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.19073667634429836,0.15799104607315637,0.44651627947558487,0.3811648723192134,0.01,0.34872772241745476,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.1918995313541122,0.17134247798295382,0.4472526462673354,0.39068839105578707,0.01,0.363242009337066,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
