b1,1CC rate,2CC rate,Game 1 rate,CC rate,strat,strat_space,transition,N,eps,beta
1.0,0.01786962646540535,0.030358197137236056,0.36760747523775894,0.048227823602641405,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.1400000000000001,0.02806041641246208,0.030309228447633407,0.39850124230843675,0.058369644860095486,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.2800000000000002,0.03772304071055779,0.0258181329284113,0.4435823825610733,0.06354117363896909,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.4200000000000004,0.051734226860645265,0.027891608959130464,0.4427410790324778,0.07962583581977573,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.5600000000000005,0.07477611142979855,0.02484752994676511,0.4837641614235479,0.09962364137656365,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.7000000000000006,0.25732967559389425,0.021450760330350732,0.6068133485912648,0.27878043592424495,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.8400000000000007,0.8026781208967417,0.007779063206332389,0.8959645521491109,0.8104571841030741,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.9800000000000009,0.8757668871788061,0.007081978041644269,0.9306968774129868,0.8828488652204504,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
2.120000000000001,0.8634977192373525,0.007078219476629445,0.9292334853817522,0.870575938713982,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
2.260000000000001,0.9097743172418709,0.005417289792490914,0.9514367099686861,0.9151916070343618,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
2.4000000000000012,0.9664133320817002,0.002507621893334344,0.9806346503885884,0.9689209539750345,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
2.5400000000000014,0.9707575586346087,0.0023841214302214894,0.9836349680365298,0.9731416800648302,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
2.6800000000000015,0.9730117010504797,0.0027445418866499974,0.9830137561137373,0.9757562429371297,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
2.8200000000000016,0.9765508460103761,0.0036988159816114087,0.985847839411298,0.9802496619919875,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
2.9600000000000017,0.9840088413139423,0.0023176964858924536,0.9916866146132385,0.9863265377998347,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
3.100000000000002,0.9849024649284961,0.0029747213754593967,0.9916900230985816,0.9878771863039555,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.0,0.018366010421756444,0.03277783455486468,0.38702014811920127,0.051143844976621125,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.1400000000000001,0.029088809193593905,0.02818458405735497,0.4162097463139213,0.05727339325094888,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.2800000000000002,0.040951174596404356,0.02714119594874528,0.4426695594901682,0.06809237054514963,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.4200000000000004,0.05203436251791465,0.027752294244347903,0.4542417831130108,0.07978665676226256,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.5600000000000005,0.0688208906240763,0.025375779831354053,0.490298908868974,0.09419667045543036,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.7000000000000006,0.24237370507146766,0.021441007100101085,0.5920759375186277,0.26381471217156877,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.8400000000000007,0.7835134985724411,0.009320238221032852,0.8877785003937331,0.792833736793474,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
1.9800000000000009,0.7513593188092035,0.010088583929248962,0.8628743287700604,0.7614479027384524,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
2.120000000000001,0.8815406660388406,0.005570868621630327,0.9396257599186209,0.887111534660471,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
2.260000000000001,0.9391774593203857,0.004984028886094007,0.9688691995299543,0.9441614882064797,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
2.4000000000000012,0.9451519935571949,0.0033081473530840073,0.9705840552334986,0.948460140910279,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
2.5400000000000014,0.975016886284534,0.0025587359975492705,0.9846682536701835,0.9775756222820833,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,128,0.001,2.0
