b1,1CC rate,2CC rate,Game 1 rate,C rate,SPE rate,strat,strat_space,transition
1.0,0.005316900186851202,0.020733197628306086,0.44113896158101196,0.07558287872909882,0.000154,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.1400000000000001,0.012482056047655763,0.014374351129032495,0.4667468265501641,0.0647528733589591,0.00101,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.2800000000000002,0.016588063694811236,0.012787484878326,0.48760194586145,0.06714701625343016,0.002378,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.4200000000000004,0.02400307714790883,0.013990224706606012,0.4975196215833777,0.07618607922639524,0.004714,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.5600000000000005,0.035646622460877415,0.01413744734417227,0.5367957171639327,0.0869838311887755,0.012752,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.7000000000000006,0.1491404131967391,0.01294709498520839,0.5864009474535729,0.1947136191991157,0.121498,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.8400000000000007,0.57296803429116,0.008126207968954878,0.8095254108820467,0.5979058017655046,0.5447,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.9800000000000009,0.658725365849371,0.007420739693345516,0.8431921853349982,0.6798411685343582,0.62428,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.120000000000001,0.6712893228912737,0.006696796360318712,0.8695556634543531,0.6909929434797225,0.561454,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.260000000000001,0.7596868527050747,0.005854014849876635,0.9084673454365358,0.7753096827790527,0.529594,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.4000000000000012,0.9314187154987641,0.0036217599463844443,0.9745092873904218,0.9381171397946405,0.529898,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.5400000000000014,0.9920559468000121,0.0028872518587909637,0.9949718594983863,0.9959606247354446,0.452036,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.6800000000000015,0.9870750762016066,0.002896506046579539,0.9932990018944388,0.9912335273085663,0.426812,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.8200000000000016,0.9922798441824953,0.0027603741655646305,0.9948492439970862,0.9960775645072025,0.373536,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.9600000000000017,0.9927220144621515,0.0028686630065285395,0.9955500825060251,0.9965956534967163,0.4421,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
3.100000000000002,0.992230836534498,0.0028675305601525806,0.995467552288323,0.9961302352306508,0.44063,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.0,0.0054858803505320065,0.01953813280250911,0.4706261955628024,0.07309366419108826,0.000128,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.1400000000000001,0.01066429572379815,0.014580493767677585,0.44545582089637314,0.06439024468975534,0.000482,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.2800000000000002,0.015622289043708172,0.013447297132526686,0.4912026758871614,0.0676189329804937,0.002026,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.4200000000000004,0.023697468233488797,0.01300182273723539,0.4776890146128891,0.07443390650272551,0.004496,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.5600000000000005,0.034741624902940034,0.013907166992148027,0.5212186857268165,0.08614287246074905,0.012114,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.7000000000000006,0.12751187376924608,0.012412564023596384,0.5976227939009665,0.17260034900964616,0.101924,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.8400000000000007,0.5504859831125507,0.008433398238989294,0.7816876051922039,0.5769565237788424,0.526508,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
1.9800000000000009,0.6463502680022993,0.007608393377753546,0.8408144703064147,0.6691507183821106,0.60596,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.120000000000001,0.7509829141096206,0.005498338837380535,0.897651035499587,0.7664154048351302,0.674594,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.260000000000001,0.8615974951167827,0.004898970784441313,0.9432813782423358,0.8728265773168364,0.649006,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.4000000000000012,0.9329721833939553,0.003734385483041206,0.9741122813945181,0.9400357202401005,0.499318,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
2.5400000000000014,0.9646729762508818,0.0030729940548757306,0.9865011031689547,0.9697937625209533,0.413018,S_08_EqualSay_G2_Default,S_08,EqualSay_G2_Default
