b1,1CC rate,2CC rate,Game 1 rate,strat,strat_space,transition
1.0,0.014495187055734838,0.02361665701699187,0.4981684090381599,S_12_Random_Dictator,S_12,Random_Dictator
1.1400000000000001,0.024954000232124837,0.026344061561057768,0.4968877007235547,S_12_Random_Dictator,S_12,Random_Dictator
1.2800000000000002,0.03582623355776975,0.028139433318468667,0.5155709231176296,S_12_Random_Dictator,S_12,Random_Dictator
1.4200000000000004,0.046261140393614196,0.025639115019109215,0.5050958136350754,S_12_Random_Dictator,S_12,Random_Dictator
1.5600000000000005,0.10184099270442352,0.025840884654287816,0.5435594719153825,S_12_Random_Dictator,S_12,Random_Dictator
1.7000000000000006,0.2523537653767775,0.020401728929468902,0.6366793040936058,S_12_Random_Dictator,S_12,Random_Dictator
1.8400000000000007,0.5177192492727495,0.015047543173678471,0.7790722634016006,S_12_Random_Dictator,S_12,Random_Dictator
1.9800000000000009,0.636164834414992,0.013295098213857477,0.8341269182754912,S_12_Random_Dictator,S_12,Random_Dictator
2.120000000000001,0.7992054300882054,0.007936625243599471,0.8960561777315799,S_12_Random_Dictator,S_12,Random_Dictator
2.260000000000001,0.8672129135612899,0.006346731819902981,0.9329068871383032,S_12_Random_Dictator,S_12,Random_Dictator
2.4000000000000012,0.9235710717605768,0.004191467069828711,0.9670441233238093,S_12_Random_Dictator,S_12,Random_Dictator
2.5400000000000014,0.9538963504981054,0.0034045763432105493,0.9823607337705929,S_12_Random_Dictator,S_12,Random_Dictator
2.6800000000000015,0.9613906198984132,0.0030185232272728945,0.9820075673395927,S_12_Random_Dictator,S_12,Random_Dictator
2.8200000000000016,0.9574031471803175,0.0027840732659649356,0.981554946327945,S_12_Random_Dictator,S_12,Random_Dictator
2.9600000000000017,0.960762005752731,0.0030946877150532515,0.9869152064563764,S_12_Random_Dictator,S_12,Random_Dictator
3.100000000000002,0.9633638406730667,0.0025329495852921256,0.9833482246133697,S_12_Random_Dictator,S_12,Random_Dictator
1.0,0.015221038594187542,0.024562375293890323,0.4989044523119431,S_12_Random_Dictator,S_12,Random_Dictator
1.1400000000000001,0.025328910962904252,0.028906453489674872,0.4957910570618894,S_12_Random_Dictator,S_12,Random_Dictator
1.2800000000000002,0.035328639841152656,0.029231793815011085,0.5106464195321648,S_12_Random_Dictator,S_12,Random_Dictator
1.4200000000000004,0.053191348751841463,0.024924628157218527,0.4894876938269559,S_12_Random_Dictator,S_12,Random_Dictator
1.5600000000000005,0.0967033346105912,0.025750144454798014,0.5308744231299278,S_12_Random_Dictator,S_12,Random_Dictator
1.7000000000000006,0.2611172441795174,0.022074340474525726,0.6223071210003577,S_12_Random_Dictator,S_12,Random_Dictator
1.8400000000000007,0.560013320697113,0.01519738011025764,0.7858269426660642,S_12_Random_Dictator,S_12,Random_Dictator
1.9800000000000009,0.7160135583840453,0.010054587850006314,0.8732325991089335,S_12_Random_Dictator,S_12,Random_Dictator
2.120000000000001,0.7830162986652969,0.0089774222727942,0.8999567493944142,S_12_Random_Dictator,S_12,Random_Dictator
2.260000000000001,0.8493081613365098,0.006794218129617876,0.9279083716875149,S_12_Random_Dictator,S_12,Random_Dictator
2.4000000000000012,0.9354737834427929,0.004386703678190691,0.9735747875971611,S_12_Random_Dictator,S_12,Random_Dictator
2.5400000000000014,0.9522800939077906,0.003306990078494714,0.9771259928244519,S_12_Random_Dictator,S_12,Random_Dictator
2.6800000000000015,0.9456596222891366,0.00296939590591235,0.9734942010646669,S_12_Random_Dictator,S_12,Random_Dictator
2.8200000000000016,0.9416252093757904,0.003187531828833633,0.9733340088044592,S_12_Random_Dictator,S_12,Random_Dictator
2.9600000000000017,0.9570598015620602,0.002886456761089413,0.9808296202289704,S_12_Random_Dictator,S_12,Random_Dictator
3.100000000000002,0.9604501632928736,0.0025634930288434233,0.9819175063978017,S_12_Random_Dictator,S_12,Random_Dictator
1.0,0.017465017772029953,0.025519722463286893,0.46971034987604166,S_12_Random_Dictator,S_12,Random_Dictator
1.1400000000000001,0.022621451452205177,0.02613329827255281,0.4742849744293044,S_12_Random_Dictator,S_12,Random_Dictator
1.2800000000000002,0.03207589566113783,0.028867476753377846,0.515367983611273,S_12_Random_Dictator,S_12,Random_Dictator
