b1,1CC rate,2CC rate,Game 1 rate,strat_space,transition,strat
1.0,0.01917466836830468,0.0,1.0,S_04,NA,S_04_NA
1.14,0.026883091473315468,0.0,1.0,S_04,NA,S_04_NA
1.2800000000000002,0.030006966875311937,0.0,1.0,S_04,NA,S_04_NA
1.4200000000000004,0.035075069729898774,0.0,1.0,S_04,NA,S_04_NA
1.5600000000000005,0.040178519342643534,0.0,1.0,S_04,NA,S_04_NA
1.7000000000000006,0.050451342442805656,0.0,1.0,S_04,NA,S_04_NA
1.8400000000000007,0.06286683862880595,0.0,1.0,S_04,NA,S_04_NA
1.9800000000000009,0.10435381803591744,0.0,1.0,S_04,NA,S_04_NA
2.120000000000001,0.18616085219744494,0.0,1.0,S_04,NA,S_04_NA
2.2600000000000007,0.559721668919353,0.0,1.0,S_04,NA,S_04_NA
2.400000000000001,0.8113304253131808,0.0,1.0,S_04,NA,S_04_NA
2.5400000000000014,0.9536061365288436,0.0,1.0,S_04,NA,S_04_NA
2.680000000000001,0.994075607219434,0.0,1.0,S_04,NA,S_04_NA
2.8200000000000016,0.9934239852617021,0.0,1.0,S_04,NA,S_04_NA
2.9600000000000017,0.9949646959385192,0.0,1.0,S_04,NA,S_04_NA
3.100000000000002,0.9953944888633952,0.0,1.0,S_04,NA,S_04_NA
1.0,0.017782962005657068,0.0,1.0,S_04,NA,S_04_NA
1.14,0.025551156049238383,0.0,1.0,S_04,NA,S_04_NA
1.2800000000000002,0.03049090086104372,0.0,1.0,S_04,NA,S_04_NA
1.4200000000000004,0.03424027832524235,0.0,1.0,S_04,NA,S_04_NA
1.5600000000000005,0.03974967073202596,0.0,1.0,S_04,NA,S_04_NA
1.7000000000000006,0.048224372189053635,0.0,1.0,S_04,NA,S_04_NA
1.8400000000000007,0.06114053869443276,0.0,1.0,S_04,NA,S_04_NA
1.9800000000000009,0.09778079726896244,0.0,1.0,S_04,NA,S_04_NA
2.120000000000001,0.2273586126351321,0.0,1.0,S_04,NA,S_04_NA
2.2600000000000007,0.4208324784369771,0.0,1.0,S_04,NA,S_04_NA
2.400000000000001,0.8140545993731159,0.0,1.0,S_04,NA,S_04_NA
2.5400000000000014,0.9261217771247972,0.0,1.0,S_04,NA,S_04_NA
2.680000000000001,0.9920366242642192,0.0,1.0,S_04,NA,S_04_NA
2.8200000000000016,0.9951622271510568,0.0,1.0,S_04,NA,S_04_NA
2.9600000000000017,0.9959074585746598,0.0,1.0,S_04,NA,S_04_NA
3.100000000000002,0.99484884271597,0.0,1.0,S_04,NA,S_04_NA
1.0,0.018039908802223486,0.0,1.0,S_04,NA,S_04_NA
1.14,0.027872322206993986,0.0,1.0,S_04,NA,S_04_NA
1.2800000000000002,0.029274747488823957,0.0,1.0,S_04,NA,S_04_NA
1.4200000000000004,0.033569506211259266,0.0,1.0,S_04,NA,S_04_NA
1.5600000000000005,0.04086371557722652,0.0,1.0,S_04,NA,S_04_NA
1.7000000000000006,0.05045498721865364,0.0,1.0,S_04,NA,S_04_NA
1.8400000000000007,0.06500184817257312,0.0,1.0,S_04,NA,S_04_NA
1.9800000000000009,0.10168902687213212,0.0,1.0,S_04,NA,S_04_NA
2.120000000000001,0.19557564698659213,0.0,1.0,S_04,NA,S_04_NA
2.2600000000000007,0.484471901050695,0.0,1.0,S_04,NA,S_04_NA
2.400000000000001,0.832928052089206,0.0,1.0,S_04,NA,S_04_NA
2.5400000000000014,0.9524784494896058,0.0,1.0,S_04,NA,S_04_NA
2.680000000000001,0.9840200529505664,0.0,1.0,S_04,NA,S_04_NA
2.8200000000000016,0.9947813761927552,0.0,1.0,S_04,NA,S_04_NA
2.9600000000000017,0.9949473506452922,0.0,1.0,S_04,NA,S_04_NA
3.100000000000002,0.9945060573539092,0.0,1.0,S_04,NA,S_04_NA
1.0,0.017291197452435708,0.0,1.0,S_04,NA,S_04_NA
